TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,Cluster,PCA1,PCA2
TX000001,AC00128,-0.9712754695068417,2023-04-11 16:29:14,1,San Diego,D000380,162.198.218.92,M015,ATM,1.4237182648914386,0,-0.5524432626288956,-0.2067936485059295,-0.000536635052410607,2024-11-04 08:08:08,0,-1.686707633433721,-0.5712572341340074
TX000002,AC00455,0.2694396064236744,2023-06-27 16:44:19,1,Houston,D000051,13.149.61.4,M052,ATM,1.3112870641052805,0,0.30531436617680696,-0.2067936485059295,2.2164715868484435,2024-11-04 08:09:35,0,-2.86643390018084,0.0016035333834170263
TX000003,AC00019,-0.5868816229808057,2023-07-10 18:16:08,1,Mesa,D000235,215.97.143.157,M009,Online,-1.443277355155591,3,-0.9098422746312717,-0.2067936485059295,-1.0235341282270716,2024-11-04 08:07:04,1,2.219834108737774,-0.6920500698054268
TX000004,AC00070,-0.38745590278222686,2023-05-05 16:32:11,1,Raleigh,D000187,200.13.225.150,M002,Online,-1.0497681524040379,3,-1.353017049514218,-0.2067936485059295,0.8857974429054191,2024-11-04 08:09:06,0,0.9627964178402042,-1.028081956528703
TX000005,AC00411,-0.9734680903782914,2023-10-16 17:51:24,0,Atlanta,D000308,65.164.3.100,M091,Online,-1.0497681524040379,3,1.1201841135422244,-0.2067936485059295,0.5935893646592064,2024-11-04 08:06:39,2,1.1031953420410776,0.7589364406830578
TX000006,AC00393,-0.7038442425922038,2023-04-03 17:15:01,1,Oklahoma City,D000579,117.67.192.211,M054,ATM,-1.49949295554867,3,0.7484891410597533,-0.2067936485059295,-1.1108816933044958,2024-11-04 08:06:36,1,2.2903245568403605,0.4949600533107847
TX000007,AC00199,-0.9952915199894398,2023-02-15 16:36:48,0,Seattle,D000241,140.212.253.222,M019,ATM,-0.4313965480801688,0,0.2767224452166169,-0.2067936485059295,2.103091796208713,2024-11-04 08:10:09,2,-2.1278812528842748,0.14762902762992947
TX000008,AC00069,-0.43226759184248137,2023-05-08 17:47:59,0,Indianapolis,D000500,92.214.76.157,M020,Branch,1.2550714637122016,2,2.449708438191063,-0.2067936485059295,-0.5943498275623533,2024-11-04 08:10:55,2,0.14401990366234974,1.53795417749942
TX000009,AC00135,-0.6556065834203091,2023-03-21 16:59:46,0,Detroit,D000690,24.148.92.177,M035,Branch,0.35562185742293734,1,-0.4809634602284204,-0.2067936485059295,1.0206840106570008,2024-11-04 08:11:14,0,-1.1208860212222376,-0.46572733028343677
TX000010,AC00385,1.7759071839141245,2023-03-31 16:06:57,1,Nashville,D000199,32.169.88.41,M007,ATM,0.5804842589952534,0,0.005099196094811046,-0.2067936485059295,-1.049294570483005,2024-11-04 08:06:32,0,-0.6193049964197871,-0.25783351884184985
TX000011,AC00150,-0.958633639794889,2023-03-14 16:46:10,0,Albuquerque,D000205,213.15.9.253,M073,Online,0.41183745781601633,1,-0.8669543931909865,-0.2067936485059295,0.6372080213386072,2024-11-04 08:06:45,0,-0.9359461313951292,-0.7318427413925853
TX000012,AC00459,-0.3685445477659726,2023-02-06 17:30:00,1,Memphis,D000589,116.175.11.222,M030,Online,-1.330846154369433,3,0.7627851015398482,-0.2067936485059295,-0.9193180502003306,2024-11-04 08:07:12,1,2.122707499196312,0.4806607668197767
TX000013,AC00392,0.674663351228483,2023-06-07 17:21:28,0,Mesa,D000032,210.98.198.143,M057,Branch,-1.162199353190196,3,-0.12356444822604433,-0.2067936485059295,-0.895931865884976,2024-11-04 08:08:38,1,2.0730346985155217,-0.20387241590794347
